,ts_code,trade_date,open,high,low,close,vol
0,600028.SH,20210824,4.02,4.03,3.99,4.0,1064263.16
1,600028.SH,20210823,3.96,4.0,3.96,3.98,1038937.21
2,600028.SH,20210820,3.96,3.97,3.94,3.96,1181171.69
3,600028.SH,20210819,4.04,4.05,3.94,3.95,3029245.58
4,600028.SH,20210818,4.02,4.08,4.01,4.08,1245269.73
5,600028.SH,20210817,4.07,4.12,4.03,4.04,1653900.38
6,600028.SH,20210816,4.0,4.08,3.99,4.08,1872604.13
7,600028.SH,20210813,4.04,4.05,3.99,4.0,1114606.88
8,600028.SH,20210812,4.05,4.06,4.02,4.05,1086653.67
9,600028.SH,20210811,4.01,4.05,4.0,4.04,1247845.97
10,600028.SH,20210810,3.99,4.0,3.97,4.0,794088.2
11,600028.SH,20210809,3.96,4.0,3.95,4.0,894529.01
12,600028.SH,20210806,4.0,4.0,3.96,3.97,1001671.7
13,600028.SH,20210805,3.98,4.02,3.96,3.99,860146.08
14,600028.SH,20210804,3.97,4.0,3.95,4.0,768436.97
15,600028.SH,20210803,3.97,4.0,3.96,3.98,1048330.47
16,600028.SH,20210802,3.98,4.01,3.92,4.0,1437528.3
17,600028.SH,20210730,3.97,4.01,3.95,3.99,897708.35
18,600028.SH,20210729,4.0,4.0,3.95,3.98,1124295.89
19,600028.SH,20210728,4.02,4.04,3.97,3.98,1607499.57
20,600028.SH,20210727,4.04,4.09,4.01,4.02,1374422.12
21,600028.SH,20210726,4.07,4.07,4.01,4.04,1276031.69
22,600028.SH,20210723,4.09,4.1,4.06,4.06,953493.4
23,600028.SH,20210722,4.07,4.1,4.05,4.08,1357301.71
24,600028.SH,20210721,4.08,4.08,4.03,4.03,993394.23
25,600028.SH,20210720,4.02,4.09,4.02,4.08,1162858.59
26,600028.SH,20210719,4.15,4.15,4.05,4.07,2007998.73
27,600028.SH,20210716,4.16,4.18,4.14,4.15,1039161.74
28,600028.SH,20210715,4.16,4.18,4.13,4.17,1102632.51
29,600028.SH,20210714,4.22,4.22,4.17,4.18,1050480.25
30,600028.SH,20210713,4.19,4.23,4.17,4.21,1219544.44
31,600028.SH,20210712,4.23,4.24,4.17,4.17,1445761.57
32,600028.SH,20210709,4.2,4.22,4.18,4.2,1120457.06
33,600028.SH,20210708,4.26,4.26,4.2,4.2,1373070.17
34,600028.SH,20210707,4.28,4.29,4.25,4.27,1456786.25
35,600028.SH,20210706,4.32,4.35,4.29,4.32,1180367.19
36,600028.SH,20210705,4.31,4.32,4.26,4.3,1298459.76
37,600028.SH,20210702,4.4,4.42,4.3,4.31,1779461.42
38,600028.SH,20210701,4.37,4.38,4.33,4.33,765746.93
39,600028.SH,20210630,4.36,4.38,4.33,4.36,773087.81
40,600028.SH,20210629,4.36,4.37,4.32,4.35,1288788.74
41,600028.SH,20210628,4.45,4.47,4.36,4.38,1276117.52
42,600028.SH,20210625,4.43,4.49,4.41,4.42,1510067.31
43,600028.SH,20210624,4.44,4.44,4.39,4.42,1025432.2
44,600028.SH,20210623,4.43,4.45,4.38,4.44,998097.44
45,600028.SH,20210622,4.34,4.47,4.33,4.43,2617933.7
46,600028.SH,20210621,4.37,4.39,4.28,4.29,2303996.75
47,600028.SH,20210618,4.46,4.47,4.35,4.37,2092420.76
48,600028.SH,20210617,4.58,4.59,4.48,4.49,1446741.56
49,600028.SH,20210616,4.74,4.78,4.69,4.7,1786828.56
50,600028.SH,20210615,4.7,4.8,4.66,4.68,2681094.8
51,600028.SH,20210611,4.61,4.76,4.6,4.66,2969052.0
52,600028.SH,20210610,4.57,4.62,4.56,4.58,1599830.61
53,600028.SH,20210609,4.52,4.62,4.51,4.6,2477019.31
54,600028.SH,20210608,4.5,4.51,4.45,4.5,1583279.65
55,600028.SH,20210607,4.51,4.54,4.49,4.53,1162409.96
56,600028.SH,20210604,4.5,4.52,4.46,4.49,1168587.8
57,600028.SH,20210603,4.5,4.55,4.5,4.52,1972733.42
58,600028.SH,20210602,4.49,4.51,4.46,4.49,1360728.94
59,600028.SH,20210601,4.42,4.48,4.39,4.47,1415260.91
60,600028.SH,20210531,4.45,4.45,4.38,4.42,1201517.34
61,600028.SH,20210528,4.51,4.53,4.45,4.47,1005408.1
62,600028.SH,20210527,4.45,4.54,4.45,4.47,1651909.24
63,600028.SH,20210526,4.41,4.47,4.41,4.47,1635278.84
64,600028.SH,20210525,4.42,4.45,4.37,4.43,1552689.99
65,600028.SH,20210524,4.38,4.4,4.36,4.39,868836.73
66,600028.SH,20210521,4.34,4.38,4.32,4.36,955738.73
67,600028.SH,20210520,4.38,4.38,4.34,4.34,1205859.15
68,600028.SH,20210519,4.49,4.49,4.41,4.43,1610158.62
69,600028.SH,20210518,4.45,4.54,4.43,4.53,1934910.54
70,600028.SH,20210517,4.42,4.45,4.4,4.42,1211905.53
71,600028.SH,20210514,4.41,4.43,4.35,4.39,1206430.91
72,600028.SH,20210513,4.48,4.49,4.41,4.43,1130062.35
73,600028.SH,20210512,4.44,4.54,4.44,4.5,1300707.82
74,600028.SH,20210511,4.46,4.47,4.39,4.45,1519539.43
75,600028.SH,20210510,4.42,4.5,4.42,4.5,1959420.68
76,600028.SH,20210507,4.37,4.42,4.35,4.4,1552087.62
77,600028.SH,20210506,4.33,4.39,4.32,4.37,1843268.52
78,600028.SH,20210430,4.26,4.29,4.25,4.28,1124769.76
79,600028.SH,20210429,4.27,4.29,4.25,4.28,1301179.52
